组别,DDL,工作
无人机,8.19,确定无人机选型
无人机x规则,8.26,测试无人机性能，确定无人机可以完成的任务，确定无人机相关规则
无人机x场地,8.27,确定适合无人机飞行的场地尺寸，确定合理的防护网设计
无人机x通讯,9.4,确定无人机-上位机的通讯方法；设计或获得通讯协议
无人机x通讯x上位机,9.4,完成无人机的模拟程序 / 考虑一下参数模型和调参设置
无人机x定位,开学后,调试无人机定位
无人机x通讯x上位机,开学后,用上位机控制无人机的飞行
规则,8.6√,初步规则设计
规则,8.26,详细规则：确定无人机的设定；确定初赛，决赛的设定）
规则x宣传,9.5,规则定稿，送宣传
小车,8.28,小车的设计：确定芯片，小车的组成结构，如电机的选择，色块的放置
小车,9.3,小车各种配件的采购完成；开始组装样机
小车x通讯x上位机,9.13,样车调试小车-通讯-上位机的通讯连接
小车,开学后,小车配件的分类和发放
小车x宣讲会,开学后,小车相关基础知识
通讯x小车,8.27,小车-上位机通讯板设计&大概的通讯协议
通讯x小车,9.2,小车通讯板送加工
通讯x无人机,9.4,确定无人机-上位机的通讯方法；设计或获得无人机相关通讯协议
通讯x规则x上位机,9.5,在上位机汇总得到的通讯协议；完整通讯协议文档
场地,9.3,场地搭建的材料购买和搭建
场地x摄像头x定位,9.4,在场地完成相机标定，获得相机到三维的投影矩阵
场地,开学后,设计地图
场地x上位机,开学后,测试投影仪等场地加强显示方式，尝试显示虚拟的无人机
上位机x摄像头,8.5√,"上位机抓取摄像头信息，并解除畸变（摄像头,C++,120°x90°,30fps,无延时）（Kinect,C++,70°x55°,15fps,延时约0.3s）"
上位机x多摄像设备,8.14,上位机抓取和组合多个摄像头信息
上位机x无人机,9.4,无人机-上位机通讯
上位机,9.3,上位机框架完成，各个组件接口设计完毕
上位机x无人机,9.4,尝试部署无人机仿真程序
上位机x通讯,9.4,上位机插入通讯模块完成基本测试
上位机x定位,9.13,小车定位算法的设计和调试
上位机x宣传,开学后,UI
宣传,8.19,比赛正式名称（惯例四个字）
宣传,8.27,海报+展板 主题 初步设计，获取logo雏形
宣传x规则,9.5,宣传册的编辑和制作
宣传,9.11,海报+展板的制作
宣传,9.13,微信文案编辑和发布
宣讲会,开学后9.18,宣讲会
宣讲会,开学后,邀请教师，选定教师，注意材料发放，进行基础内容介绍
网站,8.28,服务器和域名事宜；
网站,9.5,电设网站上线
赞助,8.19,确定赞助，签署协议
赞助,开学后,发票收集和报销
