,人员集中之前,小学期第一周,小学期第二周,小学期第三周,第一周,简要备注,备注
,8.8~8.21,8.22~8.28,8.29~9.4,9.5~9.11,9.12~9.18,,
小车,,> 确定小车的结构设计,> 小车的采购,> 样车的组建,>>>,三个星期复制去年的小车,同去年；另外色块要能标出小车的姿态信息
通讯,,> 通讯板的设计,> 通讯板送加工 > 协助无人机通讯研究,> 通讯模块测试,>>>,三个星期复制去年的通讯,小车通讯同去年；通讯板稍加改进即可，可以加上比赛信息指示部分
场地x定位,,> 场地的设计,> 场地的搭建 > 相机的标定,> 样车定位测试,>>>,三个星期复制去年的加大版的场地,地面部分同去年；注意场地的尺寸需要符合无人机的需求，地图需要重新设计
上位机,> 视频采集的设备购买调试,> 上位机框架设计,> 上位机框架完成，各个组件接口(小车通讯，无人机通讯，规则逻辑，定位，视频采集，展示)设计完毕,> 小车部分联调,>>>,三个星期复制去年的小车部分上位机,小车部分同去年；
无人机,> 确定无人机型号(零度),> 测试无人机性能，确定相关规则/场地/通讯,> 获取无人机通讯控制 > 设计无人机仿真程序,>>>,>>>,一个星期摸清楚无人机的能力以确定规则，然后尝试控制无人机,由上位机控制无人机，重点无人机的稳定性
宣传,> 比赛正式四个字的名称,> logo构思,> 宣传册的编辑,> 海报的设计 > 微信文稿的编辑,> 准备第一次宣讲会,从文字到图片的一系列设计,
网站,,> 网站部署,> 网站上线,>>>,>>>,一个星期复制去年的网站,同去年；换个背景
规则,,> 详细规则，初赛决赛规则,> 规则定稿,,,,
赞助/财务,> 确定赞助(零度+深鉴),,,,,,
